review_id,primary,aliases,sha256,status
RV-001,02_SELECT_VARIANT/14866c9d-0013-4f43-b2f2-e1920d42b42c.png,02_SELECT_VARIANT/14866c9d-0013-4f43-b2f2-e1920d42b42c.png,28c49d48d0a1fb9b2e158883949b38322283cd375e2cdef501724eec540919eb,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-002,02_SELECT_VARIANT/1851a96e-e0ad-40a8-9924-29d614303db3.png,02_SELECT_VARIANT/1851a96e-e0ad-40a8-9924-29d614303db3.png,9ec47b187fbdb8ab075945b541e04f6e4db3360e58b9fbd68328c6b77c4bf01c,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-003,02_SELECT_VARIANT/1faab2b2-9fda-47d4-acc8-eaf1822647f2.png,02_SELECT_VARIANT/1faab2b2-9fda-47d4-acc8-eaf1822647f2.png,709edf6cecc8e255514230470209f4a29d65a25ace514f58bc830bac03161aeb,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-004,02_SELECT_VARIANT/8d433f48-7bf9-41d6-bdcc-bc1b94e5348d.png,02_SELECT_VARIANT/8d433f48-7bf9-41d6-bdcc-bc1b94e5348d.png,99fbbbfee68f184ad5bf84b445d8b43feee603474ac31bbc25c41dc86111f02e,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-005,02_SELECT_VARIANT/BACKUPMEMORY.png,02_SELECT_VARIANT/BACKUPMEMORY.png,2d310fedc352a61f62fa2f44a98ee881c6459a141feaf71dba3ac95417fc33da,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-006,02_SELECT_VARIANT/BACKUPMEMORY1.png,02_SELECT_VARIANT/BACKUPMEMORY1.png,ca5002509119bd8df9e44da53dbd321c271a9fe1999ca53739ad061b1f133201,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-007,02_SELECT_VARIANT/HUMANMUSEUM.jpg,02_SELECT_VARIANT/HUMANMUSEUM.jpg,f18f4629699032c3b39a3dee3a08f7d43fabbb04af0ee3db4b091441dbee4a6c,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-008,02_SELECT_VARIANT/HumanTrace.png,02_SELECT_VARIANT/HumanTrace.png,9753e5dde81f7c64d1f000cf743401936027a04a6be3202e901c5cf3b1f7c0f5,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-009,02_SELECT_VARIANT/PROBABILISTS_02.png,02_SELECT_VARIANT/PROBABILISTS_02.png | 02_SELECT_VARIANT/ε₂₄–ε₂₆.png,ab780996e6fbbd6ef90b90ffcae220d5a8c3b80541a2deb085df98a8b5f2e6a7,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-010,02_SELECT_VARIANT/TEXNOMUSEUM.jpg,02_SELECT_VARIANT/TEXNOMUSEUM.jpg,e4a4fa14c00fba3537c74bcef77536c30a6ce3e04ede05678139bbd48d59bc48,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-011,02_SELECT_VARIANT/city.png,02_SELECT_VARIANT/city.png,c09289c3bf8960d3a5dd5de56b765302e9bc2ea86c8cbb2383a50257f30fc89a,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-012,02_SELECT_VARIANT/city1.png,02_SELECT_VARIANT/city1.png | 02_SELECT_VARIANT/city2.png,2af6306e471612680d09d595ec710fdde383c8e44412689884ab01e86076d045,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-013,02_SELECT_VARIANT/city3.png,02_SELECT_VARIANT/city3.png,c28c26b5d7011a73267fb6e42f131eb4af440e2af962521c950b2ed2f93642f9,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-014,02_SELECT_VARIANT/city5.png,02_SELECT_VARIANT/city5.png,fae1eaffb1c7e180fac4392d5429fce4bea6db83624472d555b691cb50d7df20,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-015,02_SELECT_VARIANT/museum.png,02_SELECT_VARIANT/museum.png,3ca13199f740c453758e27d124dc4bb29aaff84462bd4873abeac7f044e132b2,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-016,02_SELECT_VARIANT/ε₁₇.png,02_SELECT_VARIANT/ε₁₇.png,6fd0efe75e1b875e1e4d36208b8c356cc65f25ad41148774904ba739e300f104,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-017,02_SELECT_VARIANT/ε₁₈.png,02_SELECT_VARIANT/ε₁₈.png,0357e3e0757b586903af602f69596e8af6c69fb5a1d31f98f6d4e33bbc788095,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-018,02_SELECT_VARIANT/ε₁₉-1.jpg,02_SELECT_VARIANT/ε₁₉-1.jpg,28a74933acbfd2a51827978966f3311b90b7621376640ff8f40d597bfb07c806,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-019,02_SELECT_VARIANT/ε₁₉-2.jpg,02_SELECT_VARIANT/ε₁₉-2.jpg,c99d2be8e304b18094a10455c21957a553712cbf45b19b645785d0dc93dd5975,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-020,02_SELECT_VARIANT/ε₁₉.jpg,02_SELECT_VARIANT/ε₁₉.jpg,3a39bb6fe136884d1516297c17a7a055dd2582b89c2791dd9bc9ea4bf1297121,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-021,02_SELECT_VARIANT/ε₂₂.png,02_SELECT_VARIANT/ε₂₂.png,99712b730dbef7e154cc8e1fbd7d352242f8448aa5273aadef69a129171a1495,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-022,02_SELECT_VARIANT/ε₂₄–ε₂₆ .png,02_SELECT_VARIANT/ε₂₄–ε₂₆ .png,d103da3e3d9d0652c857d0176124d6294050e6e7420403bc7f04ebdd5bba529f,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-023,02_SELECT_VARIANT/ε₂₉ .png,02_SELECT_VARIANT/ε₂₉ .png,83123f5decf3bc49b12007045207d740c59693bc9253e722b332c4e0b311072c,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-024,02_SELECT_VARIANT/БИОКОД.png,02_SELECT_VARIANT/БИОКОД.png,9adcff40971a1418712501584195651b04010f9c4342966154acc1527dd913c2,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-025,02_SELECT_VARIANT/Биокультурные Сборы.png,02_SELECT_VARIANT/Биокультурные Сборы.png,a23744f01f2b1d41e756b0ee0911314f9f4b5b5a6e980e5c17ea5014404d9713,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-026,02_SELECT_VARIANT/Глас IV. О квантовом апокалипсисе.png,02_SELECT_VARIANT/Глас IV. О квантовом апокалипсисе.png,1448f41cf68ba94fd7e591d47d6386fcc0b080d49e794e117c5ad9b1af2e1b43,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-027,02_SELECT_VARIANT/Глас IX. О видениях.png,02_SELECT_VARIANT/Глас IX. О видениях.png,223336f0a30f64bab0a0fb27c25e50428ad4749a471e98362baaca53e58b3fc3,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-028,02_SELECT_VARIANT/Глас VI. О творчестве.png,02_SELECT_VARIANT/Глас VI. О творчестве.png,19e5d4c8ed1869dfc1461a2db89192bc1476eef42e18d2e52d81aa69a671741e,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-029,02_SELECT_VARIANT/Глас X. О пределе сознания.png,02_SELECT_VARIANT/Глас X. О пределе сознания.png,299c707c2abacc2a9b22ab4e0214d825097e6780e35cbd2173e14791e561e8c7,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-030,02_SELECT_VARIANT/ИсполнениеВеликойСонаты.png,02_SELECT_VARIANT/ИсполнениеВеликойСонаты.png,e76d514de0d75061ae8e63bc8b8fd10dac4c68ceb120286280f10072fed86538,NOT_PROMOTED — folder 02_SELECT_VARIANT
RV-031,Archive.zip/973528f4-f700-4218-b3a6-fb5f3eb7ba7e.png,candidate: NAVIGATOR / SOCIAL_STRUCTURE,f00228a1b614aced96bc910eeccb6ff4f72f7f6e043da3bbe6c27d1ad2320d29,NOT_PROMOTED — visual language differs from current Bogobot archive system
